,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0.0,12288.0,0.126127,0.5,0.285714,0.0,0.126657,0.0,0.0,0.0,0.0,0.0,0.881528,0.420643,0.187234,0.0,0.880451,0.098788,0.583333,0.444444,0.0,0.098891,0.228003,0.619016,0.935036,0.742823,0.617313,0.0,0.050849,0.161714,0.305974,0.168684,0.012273,0.268767,0.0,0.0,0.0,0.0,0.227437,0.676682,0.930442,0.770188,0.0,0.017857,0.0,0.003185,0.097473,0.425532
1,0.0,12288.0,0.012659,0.5,0.214286,0.166667,0.013189,0.0,0.0,0.0,0.0,0.0,0.989269,0.772826,0.311677,0.463506,0.989705,0.015013,0.75,1.0,0.076923,0.015295,0.405247,0.508636,0.48445,0.722346,0.827478,0.152394,1.0,0.16686,0.315101,0.27585,0.590324,0.278319,0.70281,0.941436,0.83502,0.829274,0.431257,0.579493,0.498378,0.755352,0.0,0.25,0.0,1.0,1.0,1.0
2,1.0,12288.0,0.955329,1.0,0.0,0.333333,0.956058,0.0,0.0,0.0,0.0,0.0,0.157678,1.0,0.0,0.927011,0.153813,0.893273,1.0,0.0,0.076923,0.893497,0.255873,0.540478,1.0,0.703026,1.0,1.0,0.922918,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.914088,0.253882,0.600382,1.0,0.729923,0.333333,0.258929,0.0,0.001313,0.00361,0.0
3,0.0,14361.0,0.303314,0.0,0.5,0.666667,0.303101,0.0,0.0,0.0,0.0,0.0,0.120876,0.0,0.113641,0.260279,0.126318,0.364713,0.416667,0.461538,0.5,0.364645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068685,0.03403,0.002328,0.037829,0.374158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.494737,0.0,0.408037,0.226415,0.264706
4,0.0,14361.0,0.053606,0.166667,0.0,0.0,0.052857,0.0,0.0,0.0,0.0,0.0,0.478747,0.046438,0.0,0.0,0.482013,0.040313,0.583333,0.153846,0.0,0.039948,0.22776,0.350761,0.351975,0.303737,0.075199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228284,0.348979,0.349881,0.302175,0.25,0.126316,0.0,0.021615,0.056604,0.147059
5,1.0,14361.0,0.218713,0.333333,0.5,0.333333,0.218646,0.0,0.0,0.0,0.0,0.0,1.0,0.326926,0.476708,0.319697,1.0,0.147964,0.5,0.307692,0.142857,0.147698,1.0,1.0,1.0,1.0,0.591042,1.0,0.831008,0.944268,0.359168,0.420568,0.45195,0.380373,0.74596,1.0,0.844168,0.952386,1.0,1.0,1.0,1.0,0.5,0.126316,0.0,0.252526,0.037736,0.029412
6,0.0,10266.0,0.022052,0.0,0.0,0.0,0.022052,0.0,0.0,0.0,0.0,0.0,0.345288,0.0,0.0,0.0,0.34285,0.037782,0.210526,0.117647,0.0,0.037704,0.333816,0.326366,0.463098,0.257513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334894,0.320084,0.456371,0.255867,0.0,0.085714,0.0,1.0,0.002291,1.0
7,0.0,10266.0,0.037392,0.0,0.0,0.0,0.037392,0.0,0.0,0.0,0.0,0.0,0.352183,0.0,0.0,0.0,0.349615,0.02367,0.263158,0.176471,0.133333,0.023733,0.532768,0.625799,0.627922,0.677249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531644,0.619818,0.622909,0.672906,0.4,0.142857,0.0,0.821157,1.0,0.115183
8,1.0,10266.0,0.027804,0.0,0.0,0.0,0.027804,0.0,0.0,0.0,0.0,0.0,0.352368,0.0,0.0,0.0,0.349767,0.010765,0.315789,0.411765,0.333333,0.011108,0.806388,0.784439,0.677365,0.727083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795218,0.764498,0.670277,0.714149,1.0,0.485714,0.0,6.2e-05,0.000539,0.0
9,0.0,14365.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04909,0.0,0.88627,1.0,0.093956,0.0,0.0,0.285714,0.363636,0.0,0.044679,0.135637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.086961,0.084408,0.032952,0.0,0.5,0.377358,0.0,0.0,0.0,0.0
